CPC,1,2,3,4,5,6,7,8,9,10,11,12,13,13A,14,15,16,17,18
1,36000,39800,43400,51000,58400,70800,89800,95200,106200,112200,135400,157600,246200,262200,288400,364400,410800,450000,500000
2,37000,41000,44800,52600,60200,73000,92400,98000,109400,115600,139400,162400,253600,270000,297000,375400,423200,,
3,38200,42200,46200,54200,62000,75200,95200,101000,112600,119000,143600,167200,261200,278200,306000,386600,435800,,
4,39400,43400,47600,55800,63800,77400,98000,104000,116000,122600,148000,172200,269000,286600,315200,398200,448800,,
5,40600,44800,49000,57400,65800,79800,101000,107200,119400,126200,152400,177400,277000,295200,324600,410200,,,
6,41800,46200,50400,59200,67800,82200,104000,110400,123000,130000,157000,182800,285400,304000,334400,422600,,,
7,43000,47600,52000,61000,69800,84600,107200,113800,126600,134000,161800,188200,294000,313200,344400,435200,,,
8,44200,49000,53600,62800,71800,87200,110400,117200,130400,138000,166600,193800,302800,322600,354800,448200,,,
9,45600,50400,55200,64600,74000,89800,113800,120800,134400,142200,171600,199600,311800,332200,365400,,,,
10,47000,52000,56800,66600,76200,92400,117200,124400,138400,146400,176800,205600,321200,342200,376400,,,,
11,48400,53600,58600,68600,78400,95200,120800,128200,142600,150800,182200,211800,330800,352400,387600,,,,
12,49800,55200,60400,70600,80800,98000,124400,132000,146800,155400,187600,218200,340800,363000,399200,,,,
13,51200,56800,62200,72800,83200,101000,128200,136000,151200,160000,193200,224800,351000,373800,411200,,,,
14,52800,58600,64000,75000,85600,104000,132000,140000,155800,164800,199000,231600,361600,385000,423600,,,,
15,54400,60400,66000,77200,88200,107200,136000,144200,160400,169800,205000,238600,372400,396600,436400,,,,
16,56000,62200,68000,79600,90800,110400,140000,148600,165200,174800,211200,245800,383600,408400,,,,,
17,57600,64000,70000,82000,93600,113800,144200,153000,170200,180000,217600,253200,395200,420600,,,,,
18,59400,66000,72200,84400,96400,117200,148600,157600,175400,185400,224200,260800,407000,433200,,,,,
19,61200,68000,74400,87000,99200,120800,153000,162400,180600,191000,231000,268600,419200,,,,,,
20,63000,70000,76600,89600,102200,124400,157600,167200,186000,196800,238000,276600,431800,,,,,,
21,64800,72200,78800,92200,105200,128200,162400,172200,191600,202800,245200,284800,,,,,,,
22,66800,74400,81200,95000,108400,132000,167200,177400,197400,208800,252600,293400,,,,,,,
23,68800,76600,83600,97800,111600,136000,172200,182800,203400,215000,260200,302200,,,,,,,
24,70800,78800,86200,100800,115000,140000,177400,188200,209600,221400,268000,311200,,,,,,,
25,73000,81200,88800,103800,118400,144200,182800,193800,215800,228000,276000,320600,,,,,,,
26,75200,83600,91400,107000,122000,148600,188200,199600,222200,234800,284200,330200,,,,,,,
27,77400,86200,94200,110200,125600,153000,193800,205600,228800,241800,292800,340200,,,,,,,
28,79800,88800,97000,113600,129400,157600,199600,211800,235600,249000,301600,350400,,,,,,,
29,82200,91400,100000,117000,133200,162400,205600,218200,242600,256400,310600,361000,,,,,,,
30,84600,94200,103000,120600,137200,167200,211800,224800,249800,264000,320000,371800,,,,,,,
31,87200,97000,106000,124200,141400,172200,218200,231600,257200,272000,329600,383000,,,,,,,
32,89800,100000,109200,128000,145600,177400,224800,238600,265000,280200,339400,394400,,,,,,,
33,92400,103000,112400,131800,150000,182800,231600,245800,273000,288600,349600,406200,,,,,,,
34,95200,106000,115800,135800,154600,188200,238600,253200,281200,297200,360000,418400,,,,,,,
35,98000,109200,119200,139800,159200,193800,245800,260800,289600,306200,370800,,,,,,,,
36,101000,112400,122800,144000,164000,199600,253200,268600,298200,315400,382000,,,,,,,,
37,104000,115800,126400,148400,169000,205600,260800,276600,307200,324800,393400,,,,,,,,
38,107200,119200,130200,152800,174000,211800,268600,284800,316400,334600,405200,,,,,,,,
39,110400,122800,134200,157400,179200,218200,276600,293400,325800,344600,417400,,,,,,,,
40,113800,126400,138200,162200,184600,224800,284800,302200,335600,355000,,,,,,,,,
